fishery,area,year,sex,maturity,shell condition,size,count
RKF,all EBS,2008,male,undetermined,old shell,161,5
RKF,all EBS,2008,male,undetermined,old shell,162,4
RKF,all EBS,2008,male,undetermined,old shell,163,5
RKF,all EBS,2008,male,undetermined,old shell,164,2
RKF,all EBS,2008,male,undetermined,old shell,165,1
RKF,all EBS,2008,male,undetermined,old shell,166,2
RKF,all EBS,2008,male,undetermined,old shell,172,1
RKF,all EBS,2008,male,undetermined,old shell,177,1
RKF,all EBS,2009,male,undetermined,new shell,142,1
RKF,all EBS,2009,male,undetermined,new shell,143,1
RKF,all EBS,2009,male,undetermined,new shell,144,1
RKF,all EBS,2009,male,undetermined,new shell,148,1
RKF,all EBS,2009,male,undetermined,new shell,149,2
RKF,all EBS,2009,male,undetermined,new shell,150,1
RKF,all EBS,2009,male,undetermined,new shell,151,5
RKF,all EBS,2009,male,undetermined,new shell,152,1
RKF,all EBS,2009,male,undetermined,new shell,153,6
RKF,all EBS,2009,male,undetermined,new shell,154,3
RKF,all EBS,2009,male,undetermined,new shell,155,8
RKF,all EBS,2009,male,undetermined,new shell,156,5
RKF,all EBS,2009,male,undetermined,new shell,157,4
RKF,all EBS,2009,male,undetermined,new shell,158,7
RKF,all EBS,2009,male,undetermined,new shell,159,7
RKF,all EBS,2009,male,undetermined,new shell,160,7
RKF,all EBS,2009,male,undetermined,new shell,161,11
RKF,all EBS,2009,male,undetermined,new shell,162,2
RKF,all EBS,2009,male,undetermined,new shell,163,5
RKF,all EBS,2009,male,undetermined,new shell,164,9
RKF,all EBS,2009,male,undetermined,new shell,165,6
RKF,all EBS,2009,male,undetermined,new shell,166,8
RKF,all EBS,2009,male,undetermined,new shell,167,5
RKF,all EBS,2009,male,undetermined,new shell,168,4
RKF,all EBS,2009,male,undetermined,new shell,169,9
RKF,all EBS,2009,male,undetermined,new shell,170,2
RKF,all EBS,2009,male,undetermined,new shell,171,4
RKF,all EBS,2009,male,undetermined,new shell,172,3
RKF,all EBS,2009,male,undetermined,new shell,173,3
RKF,all EBS,2009,male,undetermined,new shell,174,3
RKF,all EBS,2009,male,undetermined,new shell,175,1
RKF,all EBS,2009,male,undetermined,new shell,176,2
RKF,all EBS,2009,male,undetermined,new shell,177,1
RKF,all EBS,2009,male,undetermined,new shell,178,1
RKF,all EBS,2009,male,undetermined,new shell,179,1
RKF,all EBS,2009,male,undetermined,old shell,157,1
RKF,all EBS,2011,male,undetermined,new shell,148,1
RKF,all EBS,2012,male,undetermined,new shell,114,1
